MonthNumeric,MonthFactor,Year,ElantraSales,Unemployment,ElantraQueries,CPI.All,CPI.Energy,zzzSales,zzzQueries
1,January,2010,7690,9.8,33,217.488,212.807,7271,24
2,February,2010,7966,9.8,36,217.281,209.624,6296,27
3,March,2010,8225,9.9,38,217.353,209.326,9935,28
4,April,2010,9657,9.9,39,217.403,209.219,9360,24
5,May,2010,9781,9.6,39,217.29,206.631,11305,24
6,June,2010,14245,9.4,40,217.199,203.764,11441,28
7,July,2010,18215,9.4,44,217.605,206.877,11910,27
8,August,2010,15181,9.5,43,217.923,208.77,11640,29
9,September,2010,10062,9.5,41,218.275,209.832,11077,27
10,October,2010,9497,9.4,39,219.035,216.71,12983,27
11,November,2010,8631,9.8,39,219.59,219.496,9781,27
12,December,2010,13096,9.3,46,220.472,227.13,16795,29
1,January,2011,9659,9.1,60,221.187,229.258,10627,35
2,February,2011,12289,9,89,221.898,232.068,11696,35
3,March,2011,19255,9,96,223.046,240.079,11622,35
4,April,2011,22100,9.1,96,224.093,247.977,10523,31
5,May,2011,20006,9,96,224.806,250.744,10753,31
6,June,2011,19992,9.1,98,224.806,245.534,12377,32
7,July,2011,15181,9,91,225.395,246.187,12596,34
8,August,2011,15054,9,86,226.106,246.88,13244,33
9,September,2011,14386,9,76,226.597,248.55,13904,34
10,October,2011,13000,8.8,69,226.75,246.655,13362,35
11,November,2011,12414,8.6,60,227.169,247.64,11971,34
12,December,2011,13025,8.5,60,227.223,243.353,16495,36
1,January,2012,10900,8.3,65,227.842,244.876,9517,37
2,February,2012,13820,8.3,72,228.329,248.898,11306,38
3,March,2012,19681,8.2,76,228.807,249.742,13849,39
4,April,2012,16836,8.2,71,229.187,249.677,12598,35
5,May,2012,18877,8.2,72,228.713,241.806,13196,36
6,June,2012,17655,8.2,76,228.524,235.897,12479,38
7,July,2012,18512,8.2,75,228.59,233.568,11105,40
8,August,2012,17989,8.1,76,229.918,244.987,14495,40
9,September,2012,18305,7.8,79,231.015,252.987,13636,39
10,October,2012,14512,7.8,61,231.638,256.017,14568,39
11,November,2012,15923,7.7,61,231.249,248.819,11726,38
12,December,2012,19024,7.9,55,231.221,244.708,18710,51
1,January,2013,12174,8,56,231.612,244.313,12846,48
2,February,2013,16219,7.7,68,232.985,255.956,14133,46
3,March,2013,26153,7.5,68,232.299,246.695,13817,48
4,April,2013,24445,7.6,68,231.795,240.341,14208,47
5,May,2013,25090,7.5,69,231.916,240.134,16061,47
6,June,2013,22163,7.5,73,232.374,241.859,16568,52
7,July,2013,23958,7.3,75,232.889,242.974,16582,54
8,August,2013,24700,7.3,71,233.323,243.584,18017,52
9,September,2013,19691,7.2,66,233.632,243.983,13438,55
10,October,2013,14876,7.2,60,233.718,242.735,16503,53
11,November,2013,16751,6.9,62,234.121,243.231,14362,52
12,December,2013,21692,6.7,60,234.723,246.032,17854,54
